audio_offset;viseme_id
50.0;0
100.0;2
175.0;6
262.5;15
387.5;6
462.5;17
500.0;1
525.0;19
587.5;6
625.0;7
662.5;12
725.0;1
762.5;18
800.0;1
850.0;19
912.5;6
975.0;19
1025.0;19
1100.0;13
1162.5;1
1250.0;15
1312.5;19
1362.0;0
1425.0;6
1512.5;19
1562.5;17
1600.0;1
1675.0;19
1737.5;21
1787.5;13
1850.0;4
1887.5;16
1987.5;1
2062.5;15
2125.0;18
2187.5;4
2287.5;15
2375.0;1
2475.0;14
2612.0;0
2775.0;0
2825.0;6
2937.5;19
2987.5;6
3037.5;15
3112.5;20
3200.0;3
3275.0;14
3325.0;19
3375.0;19
3462.5;4
3537.5;13
3600.0;1
3675.0;15
3775.0;6
3837.5;20
3900.0;1
3962.5;14
4025.0;2
4137.5;19
4200.0;1
4387.0;0
4600.0;0
4650.0;6
4762.5;19
4825.0;20
4900.0;4
4937.5;6
4975.0;21
5037.5;18
5075.0;13
5112.5;2
5137.5;21
5175.0;17
5212.5;1
5275.0;7
5337.5;5
5387.5;13
5450.0;20
5487.5;16
5587.5;2
5675.0;21
5737.5;15
5812.5;1
5850.0;18
5887.5;17
5925.0;1
5987.5;20
6050.0;13
6100.0;2
6150.0;4
6200.0;15
6287.5;1
6325.0;19
6387.5;18
6450.0;13
6512.5;4
6587.5;20
6675.0;20
6725.0;0
6875.0;6
6950.0;19
7025.0;20
7112.5;2
7175.0;19
7212.5;19
7250.0;1
7312.5;19
7412.5;2
7487.5;21
7537.5;1
7600.0;20
7662.5;1
7800.0;15
8012.0;0
8225.0;0
8275.0;6
8387.5;19
8462.5;13
8525.0;8
8600.0;21
8650.0;1
8700.0;19
8750.0;19
8850.0;2
8900.0;6
8950.0;21
9012.5;15
9075.0;15
9125.0;1
9187.5;13
9250.0;1
9350.0;21
9412.5;6
9512.5;20
9575.0;15
9637.0;0
9662.5;7
9700.0;5
9725.0;13
9762.5;21
9825.0;1
9887.5;19
9962.5;6
10000.0;1
10050.0;18
10125.0;1
10237.5;20
10300.0;19
10325.0;16
10350.0;1
10412.5;13
10450.0;19
10500.0;6
10550.0;19
10612.5;12
10712.5;6
10762.5;7
10875.0;19
10906.25;16
10950.0;15
11037.5;4
11100.0;19
11137.5;19
11200.0;13
11250.0;1
11300.0;14
11362.5;2
11425.0;6
11487.5;15
11550.0;19
11625.0;7
11675.0;5
11725.0;13
11787.5;20
11837.5;16
11950.0;2
12087.5;21
12162.5;15
12237.0;0
12275.0;17
12325.0;1
12375.0;19
12437.5;15
12487.5;1
12550.0;21
12625.0;14
12687.5;2
12725.0;6
12762.5;19
12825.0;17
12862.5;6
12900.0;6
12987.5;19
13037.5;19
13162.5;2
13206.25;6
13250.0;1
13312.5;13
13375.0;4
13462.5;21
13512.5;21
13587.5;2
13656.25;6
13725.0;1
13837.5;13
13887.0;0
14075.0;6
14150.0;19
14200.0;17
14237.5;1
14300.0;15
14375.0;19
14450.0;2
14500.0;6
14550.0;14
14625.0;1
14662.5;18
14725.0;20
14825.0;5
14875.0;13
14912.5;1
14962.5;19
14987.5;19
15025.0;6
15075.0;19
15125.0;19
15187.5;1
15262.5;15
15312.5;19
15387.5;13
15437.5;6
15462.5;1
15500.0;14
15537.5;21
15587.5;1
15650.0;19
15725.0;6
15762.5;1
15812.5;18
15887.5;1
16000.0;20
16062.5;19
16087.5;16
16112.5;1
16162.5;13
16200.0;6
16300.0;20
16437.0;0
16650.0;0
16700.0;17
16787.5;1
16862.5;7
16925.0;5
16975.0;13
17037.5;20
17075.0;16
17175.0;2
17262.5;21
17325.0;15
17400.0;1
17437.5;18
17487.5;15
17587.5;1
17662.5;17
17712.5;1
17750.0;13
17787.5;19
17825.0;20
17912.5;3
18075.0;14
18175.0;0
18225.0;13
18300.0;6
18337.5;21
18437.5;14
18500.0;4
18537.5;6
18575.0;15
18637.5;19
18700.0;17
18737.5;6
18775.0;6
18862.5;19
18987.5;1
19062.5;14
19137.5;6
19212.5;1
19275.0;19
19350.0;15
19400.0;0
19450.0;6
19512.5;19
19550.0;17
19587.5;1
19637.5;19
19750.0;2
19787.5;6
19825.0;21
19887.5;1
19925.0;18
19962.5;1
20037.5;20
20100.0;1
20200.0;15
20287.5;19
20337.5;1
20487.5;15
20687.0;0
20900.0;0
20950.0;17
21050.0;6
21137.5;15
21212.5;21
21262.5;4
21306.25;6
21350.0;19
21387.5;17
21425.0;1
21487.5;18
21587.5;4
21637.5;6
21687.5;21
21737.5;1
21812.5;15
21875.0;1
22012.5;13
22075.0;1
22137.5;19
22237.5;6
22312.5;19
22387.5;21
22475.0;2
22575.0;19
22637.5;1
22675.0;13
22750.0;6
22875.0;0
22900.0;17
22950.0;1
22987.5;19
23037.5;7
23075.0;1
23112.5;15
23175.0;6
23237.5;20
23287.5;15
23362.5;21
23425.0;3
23487.5;13
23537.5;19
23587.5;6
23650.0;19
23700.0;0
23725.0;19
23787.5;13
23837.5;7
23875.0;2
23906.25;4
23937.5;19
24012.5;17
24050.0;6
24087.5;4
24212.5;21
24250.0;21
24325.0;2
24387.5;6
24450.0;1
24550.0;13
24687.0;0
24900.0;0
24950.0;19
25025.0;7
25050.0;6
25075.0;7
25137.5;7
25175.0;2
25237.5;19
25275.0;19
25300.0;19
25350.0;4
25387.5;19
25475.0;8
25562.5;1
25637.5;20
25700.0;6
25775.0;4
25812.5;13
25862.5;6
25950.0;2
26050.0;15
26150.0;1
26212.5;19
26250.0;6
26450.0;0
