Viseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 100.0ms, viseme id: 2.
Viseme event received: audio offset: 175.0ms, viseme id: 6.
Viseme event received: audio offset: 262.5ms, viseme id: 15.
Viseme event received: audio offset: 387.5ms, viseme id: 6.
Viseme event received: audio offset: 462.5ms, viseme id: 17.
Viseme event received: audio offset: 500.0ms, viseme id: 1.
Viseme event received: audio offset: 525.0ms, viseme id: 19.
Viseme event received: audio offset: 587.5ms, viseme id: 6.
Viseme event received: audio offset: 625.0ms, viseme id: 7.
Viseme event received: audio offset: 662.5ms, viseme id: 12.
Viseme event received: audio offset: 725.0ms, viseme id: 1.
Viseme event received: audio offset: 762.5ms, viseme id: 18.
Viseme event received: audio offset: 800.0ms, viseme id: 1.
Viseme event received: audio offset: 850.0ms, viseme id: 19.
Viseme event received: audio offset: 912.5ms, viseme id: 6.
Viseme event received: audio offset: 975.0ms, viseme id: 19.
Viseme event received: audio offset: 1025.0ms, viseme id: 19.
Viseme event received: audio offset: 1100.0ms, viseme id: 13.
Viseme event received: audio offset: 1162.5ms, viseme id: 1.
Viseme event received: audio offset: 1250.0ms, viseme id: 15.
Viseme event received: audio offset: 1312.5ms, viseme id: 19.
Viseme event received: audio offset: 1362.0ms, viseme id: 0.
Viseme event received: audio offset: 1425.0ms, viseme id: 6.
Viseme event received: audio offset: 1512.5ms, viseme id: 19.
Viseme event received: audio offset: 1562.5ms, viseme id: 17.
Viseme event received: audio offset: 1600.0ms, viseme id: 1.
Viseme event received: audio offset: 1675.0ms, viseme id: 19.
Viseme event received: audio offset: 1737.5ms, viseme id: 21.
Viseme event received: audio offset: 1787.5ms, viseme id: 13.
Viseme event received: audio offset: 1850.0ms, viseme id: 4.
Viseme event received: audio offset: 1887.5ms, viseme id: 16.
Viseme event received: audio offset: 1987.5ms, viseme id: 1.
Viseme event received: audio offset: 2062.5ms, viseme id: 15.
Viseme event received: audio offset: 2125.0ms, viseme id: 18.
Viseme event received: audio offset: 2187.5ms, viseme id: 4.
Viseme event received: audio offset: 2287.5ms, viseme id: 15.
Viseme event received: audio offset: 2375.0ms, viseme id: 1.
Viseme event received: audio offset: 2475.0ms, viseme id: 14.
Viseme event received: audio offset: 2612.0ms, viseme id: 0.
Viseme event received: audio offset: 2775.0ms, viseme id: 0.
Viseme event received: audio offset: 2825.0ms, viseme id: 6.
Viseme event received: audio offset: 2937.5ms, viseme id: 19.
Viseme event received: audio offset: 2987.5ms, viseme id: 6.
Viseme event received: audio offset: 3037.5ms, viseme id: 15.
Viseme event received: audio offset: 3112.5ms, viseme id: 20.
Viseme event received: audio offset: 3200.0ms, viseme id: 3.
Viseme event received: audio offset: 3275.0ms, viseme id: 14.
Viseme event received: audio offset: 3325.0ms, viseme id: 19.
Viseme event received: audio offset: 3375.0ms, viseme id: 19.
Viseme event received: audio offset: 3462.5ms, viseme id: 4.
Viseme event received: audio offset: 3537.5ms, viseme id: 13.
Viseme event received: audio offset: 3600.0ms, viseme id: 1.
Viseme event received: audio offset: 3675.0ms, viseme id: 15.
Viseme event received: audio offset: 3775.0ms, viseme id: 6.
Viseme event received: audio offset: 3837.5ms, viseme id: 20.
Viseme event received: audio offset: 3900.0ms, viseme id: 1.
Viseme event received: audio offset: 3962.5ms, viseme id: 14.
Viseme event received: audio offset: 4025.0ms, viseme id: 2.
Viseme event received: audio offset: 4137.5ms, viseme id: 19.
Viseme event received: audio offset: 4200.0ms, viseme id: 1.
Viseme event received: audio offset: 4387.0ms, viseme id: 0.
Viseme event received: audio offset: 4600.0ms, viseme id: 0.
Viseme event received: audio offset: 4650.0ms, viseme id: 6.
Viseme event received: audio offset: 4762.5ms, viseme id: 19.
Viseme event received: audio offset: 4825.0ms, viseme id: 20.
Viseme event received: audio offset: 4900.0ms, viseme id: 4.
Viseme event received: audio offset: 4937.5ms, viseme id: 6.
Viseme event received: audio offset: 4975.0ms, viseme id: 21.
Viseme event received: audio offset: 5037.5ms, viseme id: 18.
Viseme event received: audio offset: 5075.0ms, viseme id: 13.
Viseme event received: audio offset: 5112.5ms, viseme id: 2.
Viseme event received: audio offset: 5137.5ms, viseme id: 21.
Viseme event received: audio offset: 5175.0ms, viseme id: 17.
Viseme event received: audio offset: 5212.5ms, viseme id: 1.
Viseme event received: audio offset: 5275.0ms, viseme id: 7.
Viseme event received: audio offset: 5337.5ms, viseme id: 5.
Viseme event received: audio offset: 5387.5ms, viseme id: 13.
Viseme event received: audio offset: 5450.0ms, viseme id: 20.
Viseme event received: audio offset: 5487.5ms, viseme id: 16.
Viseme event received: audio offset: 5587.5ms, viseme id: 2.
Viseme event received: audio offset: 5675.0ms, viseme id: 21.
Viseme event received: audio offset: 5737.5ms, viseme id: 15.
Viseme event received: audio offset: 5812.5ms, viseme id: 1.
Viseme event received: audio offset: 5850.0ms, viseme id: 18.
Viseme event received: audio offset: 5887.5ms, viseme id: 17.
Viseme event received: audio offset: 5925.0ms, viseme id: 1.
Viseme event received: audio offset: 5987.5ms, viseme id: 20.
Viseme event received: audio offset: 6050.0ms, viseme id: 13.
Viseme event received: audio offset: 6100.0ms, viseme id: 2.
