audio_offset;viseme_id;body_anim;emo_value;face_pos;video
50.0;0;narrar;-0.0;0;lacrimario.mp4
100.0;21;narrar;-0.0;0;lacrimario.mp4
187.5;4;narrar;-0.0;0;lacrimario.mp4
250.0;19;narrar;-0.0;0;lacrimario.mp4
350.0;8;narrar;-0.0;0;lacrimario.mp4
425.0;0;narrar;-0.0;0;lacrimario.mp4
775.0;21;narrar;-0.0;0;lacrimario.mp4
812.5;6;narrar;-0.0;0;lacrimario.mp4
875.0;19;narrar;-0.0;0;lacrimario.mp4
950.0;2;narrar;-0.0;0;lacrimario.mp4
1012.5;4;narrar;-0.0;0;lacrimario.mp4
1075.0;15;narrar;-0.0;0;lacrimario.mp4
1150.0;19;narrar;-0.0;0;lacrimario.mp4
1225.0;2;narrar;-0.0;0;lacrimario.mp4
1275.0;6;narrar;-0.0;0;lacrimario.mp4
1337.5;21;narrar;-0.0;0;lacrimario.mp4
1425.0;2;narrar;-0.0;0;lacrimario.mp4
1500.0;12;narrar;-0.0;0;lacrimario.mp4
1612.5;4;narrar;-0.0;0;lacrimario.mp4
1662.5;19;narrar;-0.0;0;lacrimario.mp4
1737.5;19;narrar;-0.0;0;lacrimario.mp4
1787.5;4;narrar;-0.0;0;lacrimario.mp4
1825.0;14;narrar;-0.0;0;lacrimario.mp4
1887.5;14;narrar;-0.0;0;lacrimario.mp4
1950.0;2;narrar;-0.0;0;lacrimario.mp4
2012.5;20;narrar;-0.0;0;lacrimario.mp4
2075.0;19;narrar;-0.0;0;lacrimario.mp4
2125.0;6;narrar;-0.0;0;lacrimario.mp4
2175.0;21;narrar;-0.0;0;lacrimario.mp4
2250.0;2;narrar;-0.0;0;lacrimario.mp4
2312.5;19;narrar;-0.0;0;lacrimario.mp4
2400.0;6;narrar;-0.0;0;lacrimario.mp4
2475.0;8;narrar;-0.0;0;lacrimario.mp4
2625.0;0;narrar;-0.0;0;lacrimario.mp4
