audio_offset;viseme_id
50.0;0
50.0;21
200.0;4
312.5;8
387.5;20
437.5;4
512.5;19
575.0;4
650.0;19
700.0;4
775.0;6
837.5;15
912.5;6
987.5;19
1062.5;19
1100.0;4
1162.5;19
1187.5;4
1275.0;15
1325.0;21
1400.0;8
1462.5;19
1525.0;4
1587.5;15
1675.0;2
1725.0;21
1787.5;19
1837.5;4
1887.5;19
1962.5;6
2025.0;8
2087.5;15
2187.5;2
2237.5;21
2275.0;2
2337.5;15
2437.5;6
2512.5;12
2600.0;2
2700.0;0
2750.0;0
3575.0;15
3737.5;4
3812.5;19
3862.5;4
3925.0;19
3975.0;8
4025.0;21
4087.5;6
4150.0;19
4212.5;2
4287.5;19
4362.5;4
4462.5;13
4550.0;2
4612.5;15
4700.0;6
4762.5;20
4812.5;4
4862.5;14
4937.5;2
5025.0;19
5087.5;4
5187.0;0
5262.5;0
6125.0;21
6262.5;6
6337.5;19
6412.5;8
6487.5;19
6537.5;4
6600.0;15
6662.5;17
6700.0;4
6762.5;14
6800.0;8
6862.5;15
6912.5;19
6975.0;2
7050.0;6
7081.25;6
7112.5;4
7187.5;19
7237.5;4
7300.0;15
7350.0;19
7387.5;4
7437.5;14
7500.0;2
7537.5;20
7587.5;19
7625.0;2
7675.0;7
7737.5;15
7825.0;4
7887.5;21
7937.5;18
8012.5;19
8037.5;4
8100.0;19
8175.0;20
8225.0;4
8337.0;0
8350.0;4
8362.5;19
8425.0;20
8475.0;8
8550.0;19
8625.0;19
8675.0;2
8712.5;19
8762.5;8
8825.0;21
8887.5;2
8950.0;20
9012.5;7
9062.5;15
9162.5;0
9287.0;0
9337.5;4
10200.0;19
10337.5;14
10375.0;2
10462.5;4
10500.0;21
10600.0;8
10675.0;20
10712.5;2
10762.5;13
10837.5;8
10887.5;21
10962.5;2
11037.5;19
11100.0;2
11162.5;15
11212.5;4
11287.5;18
11337.5;2
11412.5;21
11450.0;19
11500.0;6
11537.5;20
11600.0;2
11662.5;21
11750.0;2
11800.0;14
11850.0;2
11912.5;19
11962.5;4
12037.5;19
12087.5;2
12125.0;21
12187.5;6
12262.5;20
12312.5;2
12375.0;4
12450.0;19
12487.5;4
12550.0;19
12600.0;8
12650.0;19
12725.0;21
12762.5;4
12837.5;15
12887.5;19
12937.5;2
13000.0;6
13031.25;6
13075.0;4
13137.5;19
13200.0;4
13250.0;15
13312.5;19
13362.5;4
13425.0;19
13475.0;19
13525.0;19
13575.0;2
13600.0;14
13650.0;6
13712.5;19
13762.5;2
13837.5;17
13925.0;8
13962.5;15
14037.5;20
14112.5;4
14162.5;2
14212.5;21
14262.5;2
14300.0;15
14350.0;19
14400.0;4
14450.0;19
14525.0;6
14587.5;2
14675.0;19
14737.5;2
14787.5;19
14850.0;8
14925.0;17
15000.0;8
15050.0;4
15112.5;14
15162.5;6
15212.5;21
15262.5;21
15350.0;4
15400.0;19
15487.5;6
15537.5;8
15612.5;0
15887.5;2
15987.5;14
16075.0;4
16125.0;15
16175.0;19
16237.5;6
16300.0;14
16375.0;8
16425.0;19
16487.5;4
16537.5;14
16587.5;2
16650.0;18
16687.5;2
16775.0;21
16812.5;19
16862.5;6
16900.0;20
16937.5;2
17000.0;19
17075.0;6
17150.0;8
17200.0;19
17250.0;6
17300.0;19
17337.5;17
17400.0;7
17450.0;15
17512.5;19
17562.5;19
17625.0;6
17675.0;2
17750.0;14
17812.5;2
17875.0;20
17912.5;19
17975.0;7
18037.5;2
18112.5;14
18200.0;0
18312.0;0
18325.0;14
19175.0;8
19325.0;15
19387.5;19
19437.5;2
19500.0;6
19531.25;6
19587.5;4
19650.0;19
19725.0;4
19775.0;15
19837.5;19
19887.5;4
19925.0;14
19975.0;15
20037.5;7
20137.5;19
20200.0;19
20250.0;4
20300.0;14
20350.0;2
20412.5;20
20450.0;2
20500.0;14
20575.0;6
20650.0;2
20712.5;15
20787.5;7
20850.0;15
20925.0;19
20975.0;6
21037.5;19
21100.0;7
21162.5;6
21193.75;6
21225.0;4
21287.5;19
21375.0;8
21412.5;19
21475.0;4
21537.5;19
21587.5;4
21650.0;21
21725.0;8
21800.0;20
21850.0;2
21900.0;19
21975.0;4
22025.0;2
22075.0;7
22125.0;20
22175.0;7
22225.0;15
22312.5;19
22400.0;8
22462.5;2
22525.0;14
22575.0;8
22612.5;15
22662.5;6
22737.5;19
22800.0;2
22862.5;14
22925.0;6
22975.0;2
23037.5;19
23125.0;8
23175.0;15
23275.0;0
23412.0;0
23425.0;4
24300.0;15
24437.5;19
24512.5;8
24587.5;15
24662.5;2
24750.0;19
24812.5;6
24900.0;2
24987.5;19
25050.0;14
25087.5;2
25162.5;19
25212.5;4
25312.5;14
25362.5;4
25425.0;21
25462.5;19
25512.5;4
25550.0;19
25612.5;4
25700.0;19
25750.0;2
25787.5;21
25850.0;6
25925.0;20
25975.0;2
26025.0;2
26087.5;19
26175.0;4
26225.0;19
26287.5;6
26337.5;19
26412.5;2
26475.0;20
26537.5;4
26587.5;15
26650.0;4
26737.5;4
26787.5;20
26837.5;15
26862.5;21
26925.0;8
26987.5;19
27037.5;19
27075.0;2
27150.0;21
27250.0;2
27287.5;2
27337.5;19
27450.0;8
27512.5;17
27612.5;8
27662.5;4
27725.0;14
27762.5;6
27812.5;21
27862.5;21
27937.5;4
27987.5;19
28062.5;6
28112.5;8
28187.5;0
28275.0;0
28325.0;20
29187.5;4
29262.5;19
29350.0;4
29400.0;6
29487.5;15
29550.0;15
29575.0;2
29675.0;21
29737.5;4
29787.5;19
29875.0;7
29912.5;19
29975.0;2
30025.0;20
30087.5;7
30150.0;19
30212.5;6
30250.0;8
30300.0;15
30362.5;6
30425.0;17
30512.5;2
30550.0;17
30662.5;0
30724.5;0
30775.0;19
31587.5;4
31737.5;19
31812.5;6
31900.0;2
32000.0;19
32050.0;14
32087.5;2
32162.5;15
32212.5;21
32275.0;2
32362.5;14
32425.0;2
32500.0;15
32550.0;14
32612.5;4
32700.0;19
32737.5;20
32800.0;7
32862.5;2
32887.5;15
32950.0;20
33012.5;4
33062.5;4
33125.0;14
33162.5;19
33212.5;19
33275.0;2
33325.0;15
33387.5;14
33450.0;2
33537.5;17
33600.0;8
33650.0;19
33725.0;4
33775.0;4
33837.5;15
33912.5;19
33962.5;8
34025.0;15
34087.5;4
34175.0;19
34237.5;8
34287.5;19
34362.5;21
34400.0;4
34475.0;15
34525.0;19
34575.0;2
34637.5;6
34668.75;6
34712.5;4
34775.0;19
34850.0;4
34900.0;15
34962.5;19
35012.5;4
35050.0;6
35112.5;19
35200.0;2
35250.0;14
35337.5;6
35400.0;2
35462.5;2
35525.0;14
35612.5;2
35675.0;20
35712.5;2
35762.5;14
35850.0;6
35925.0;2
36000.0;14
36100.0;8
36150.0;6
36200.0;19
36275.0;6
36362.5;4
36400.0;19
36450.0;8
36475.0;19
36525.0;21
36587.5;8
36637.5;19
36687.5;4
36737.5;19
36775.0;20
36837.5;8
36900.0;19
36975.0;19
37025.0;19
37075.0;2
37100.0;19
37175.0;21
37225.0;7
37287.5;4
37325.0;19
37375.0;2
37437.5;15
37512.5;19
37562.5;6
37625.0;4
37700.0;13
37775.0;2
37875.0;15
37962.5;0
38187.5;2
38337.5;21
38412.5;7
38462.5;19
38525.0;19
38587.5;2
38637.5;19
38700.0;19
38787.5;4
38850.0;2
38937.5;20
39025.0;7
39087.5;2
39125.0;6
39175.0;21
39237.5;2
39312.5;17
39375.0;4
39425.0;19
39512.5;2
39550.0;0
39712.5;21
40025.0;4
40037.5;19
40137.5;8
40175.0;15
40237.5;8
40325.0;21
40362.5;19
40412.5;4
40450.0;19
40512.5;8
40575.0;17
40650.0;8
40700.0;21
40775.0;2
40862.5;19
40925.0;8
40975.0;19
41037.5;4
41087.5;8
41162.5;21
41250.0;19
41287.5;2
41325.0;21
41375.0;2
41425.0;19
41475.0;2
41525.0;19
41612.5;2
41687.5;0
41774.5;0
41825.0;4
42687.5;19
42825.0;14
42850.0;2
42937.5;13
42975.0;4
43050.0;12
43100.0;6
43150.0;8
43237.5;19
43287.5;19
43350.0;4
43387.5;20
43425.0;8
43487.5;19
43562.5;19
43612.5;2
43662.5;19
43712.5;8
43775.0;21
43825.0;2
43900.0;20
43962.5;7
44012.5;15
44075.0;21
44137.5;6
44187.5;21
44237.5;6
44287.5;2
44375.0;14
44437.5;2
44487.5;19
44550.0;19
44612.5;6
44662.5;21
44725.0;7
44775.0;19
44837.5;4
44887.5;14
44937.5;8
44987.5;15
45037.5;13
45075.0;7
45137.5;19
45212.5;4
45275.0;19
45362.5;8
45400.0;15
45500.0;0
45762.5;19
45800.0;8
45875.0;19
45937.5;19
45987.5;4
46037.5;7
46087.5;19
46150.0;4
46212.5;15
46262.5;20
46350.0;14
46400.0;2
46450.0;21
46512.5;8
46562.5;20
46625.0;8
46675.0;15
46750.0;19
46812.5;2
46862.5;21
46937.5;2
46975.0;19
47050.0;8
47100.0;15
47187.5;2
47287.5;21
47337.5;18
47400.0;8
47475.0;19
47512.5;2
47550.0;15
47612.5;19
47662.5;4
47700.0;21
47762.5;6
47800.0;19
47875.0;8
47950.0;0
48125.0;19
48200.0;6
48287.5;4
48350.0;19
48425.0;21
48475.0;4
48537.5;19
48612.5;4
48687.5;15
48737.5;21
48800.0;4
48875.0;19
48937.5;8
48987.5;15
49062.5;20
49125.0;4
49175.0;4
49237.5;19
49300.0;6
49350.0;19
49400.0;2
49475.0;14
49562.5;6
49612.5;2
49675.0;0
49762.5;0
49787.5;20
50675.0;8
50750.0;19
50837.5;19
50887.5;6
50937.5;19
51000.0;7
51062.5;2
51150.0;19
51212.5;19
51287.5;8
51337.5;20
51387.5;8
51450.0;19
51525.0;14
51550.0;2
51612.5;6
51650.0;15
51700.0;19
51775.0;8
51825.0;19
51912.5;6
51950.0;2
52037.5;0
52125.0;0
52175.0;19
53050.0;4
53187.5;15
53250.0;17
53312.5;4
53362.5;4
53425.0;14
53462.5;15
53537.5;6
53637.5;20
53700.0;14
53762.5;8
53812.5;20
53875.0;6
53937.5;19
54012.5;19
54112.5;8
54162.5;2
54212.5;19
54300.0;4
54300.0;4
54400.0;19
54462.5;6
54525.0;19
54587.5;2
54650.0;14
54712.5;6
54787.5;2
54850.0;14
54912.5;2
55000.0;2
55087.5;21
55162.5;6
55237.5;2
55275.0;19
55375.0;2
55437.5;6
55468.75;6
55500.0;4
55575.0;19
55637.5;4
55712.5;15
55762.5;4
55825.0;15
55900.0;21
55950.0;4
55987.5;19
56050.0;6
56112.5;2
56175.0;14
56212.5;6
56262.5;19
56300.0;2
56350.0;17
56425.0;8
56512.5;15
56550.0;4
56612.5;19
56700.0;19
56737.5;4
56787.5;19
56862.5;2
56925.0;21
56962.5;6
57025.0;20
57100.0;2
57137.5;19
57200.0;4
57275.0;14
57325.0;7
57375.0;12
57425.0;8
57500.0;0
57587.5;4
57762.5;19
57850.0;14
57937.5;2
57975.0;13
58050.0;4
58087.5;12
58162.5;6
58212.5;8
58262.5;19
58350.0;19
58400.0;4
58462.5;20
58500.0;2
58537.5;21
58587.5;21
58650.0;2
58712.5;19
58762.5;6
58837.5;4
58912.5;0
58975.0;0
59112.5;14
59975.0;2
60137.5;15
60187.5;2
60262.5;19
60325.0;6
60400.0;2
60487.5;19
60550.0;19
60612.5;4
60700.0;20
60775.0;19
60825.0;2
60875.0;15
60937.5;6
60987.5;21
61062.5;19
61112.5;6
61150.0;6
61175.0;6
61200.0;2
61275.0;19
61350.0;19
61450.0;4
61500.0;15
61587.5;0
61762.5;14
61837.5;2
61950.0;20
62037.5;4
62100.0;6
62162.5;21
62225.0;6
62300.0;19
62350.0;2
62412.5;21
62512.5;2
62550.0;19
62600.0;2
62662.5;14
62712.5;2
62775.0;15
62812.5;14
62862.5;7
62925.0;12
62975.0;8
63037.5;15
63137.5;2
63212.5;15
63275.0;21
63325.0;2
63375.0;12
63437.5;6
63487.5;6
63531.25;6
63575.0;2
63650.0;15
63725.0;19
63775.0;4
63812.5;21
63875.0;19
63925.0;8
63950.0;19
64012.5;19
64087.5;4
64187.5;0
64275.0;0
64337.5;2
65200.0;20
65312.5;19
65375.0;6
65475.0;8
65525.0;19
65575.0;21
65625.0;8
65712.5;15
65762.5;19
65825.0;19
65887.5;2
65950.0;19
66025.0;4
66087.5;19
66137.5;14
66162.5;8
66225.0;15
66275.0;7
66350.0;14
66425.0;19
66450.0;6
66525.0;21
66575.0;8
66650.0;15
66687.5;19
66737.5;6
66800.0;4
66862.5;21
66912.5;21
66962.5;8
67012.5;15
67062.5;19
67125.0;4
67162.5;14
67212.5;2
67275.0;13
67312.5;4
67400.0;21
67450.0;7
67525.0;21
67600.0;14
67650.0;6
67700.0;20
67750.0;2
67800.0;14
67875.0;2
67937.5;21
67975.0;8
68062.5;17
68100.0;2
68150.0;20
68212.5;2
68275.0;21
68350.0;21
68425.0;6
68450.0;8
68512.5;0
68712.5;6
68762.5;21
68862.5;14
68950.0;2
69012.5;19
69087.5;8
69162.5;15
69250.0;0
69537.5;20
69550.0;7
69612.5;4
69662.5;19
69725.0;20
69775.0;8
69837.5;15
69912.5;6
69975.0;21
70050.0;2
70100.0;15
70187.5;8
70262.5;15
70325.0;19
70375.0;4
70412.5;19
70462.5;4
70537.5;19
70587.5;2
70625.0;21
70687.5;6
70762.5;20
70800.0;2
70862.5;4
70925.0;21
70975.0;21
71025.0;4
71075.0;19
71125.0;2
71200.0;19
71262.5;8
71287.5;19
71350.0;2
71400.0;19
71462.5;4
71525.0;19
71587.5;4
71637.5;19
71687.5;15
71737.5;7
71825.0;20
71875.0;2
71925.0;19
71975.0;2
72025.0;20
72062.5;19
72112.5;4
72162.5;19
72237.5;6
72250.0;15
72312.5;19
72387.5;6
72437.5;20
72500.0;8
72550.0;20
72625.0;8
72675.0;14
72750.0;8
72787.5;19
72887.5;13
72925.0;8
73025.0;12
73112.5;8
73162.5;21
73250.0;19
73287.5;6
73337.5;6
73356.25;6
73375.0;2
73462.5;19
73525.0;19
73637.5;4
73687.5;0
73787.0;0
73862.5;15
74700.0;4
74862.5;19
74925.0;19
74987.5;2
75037.5;19
75125.0;2
75187.5;19
75250.0;4
75300.0;14
75350.0;2
75412.5;19
75462.5;4
75550.0;19
75600.0;2
75637.5;21
75700.0;6
75775.0;20
75825.0;2
75887.5;2
75950.0;19
76025.0;4
76075.0;19
76150.0;6
76200.0;19
76300.0;2
76375.0;0
76550.0;20
76775.0;4
76787.5;19
76900.0;4
76950.0;19
77012.5;21
77037.5;6
77112.5;19
77150.0;2
77225.0;21
77312.5;2
77350.0;4
77400.0;19
77437.5;14
77475.0;2
77550.0;15
77600.0;21
77662.5;4
77737.5;15
77800.0;2
77875.0;15
77937.5;19
77987.5;4
78025.0;14
78075.0;2
78137.5;15
78187.5;19
78237.5;8
78275.0;21
78362.5;7
78450.0;15
78487.5;21
78550.0;2
78637.5;15
78700.0;13
78750.0;6
78837.5;20
78912.5;2
78975.0;15
79100.0;0
79187.0;0
79262.5;2
80137.5;20
80250.0;19
80312.5;6
80412.5;8
80475.0;19
80525.0;21
80575.0;8
80662.5;15
80712.5;19
80775.0;19
80837.5;2
80900.0;19
80962.5;19
81025.0;4
81075.0;15
81137.5;17
81187.5;4
81225.0;20
81287.5;4
81337.5;15
81400.0;4
81475.0;4
81525.0;21
81575.0;21
81625.0;4
81675.0;19
81725.0;2
81800.0;19
81862.5;8
81900.0;19
81950.0;2
82012.5;18
82062.5;2
82150.0;21
82187.5;19
82237.5;6
82275.0;20
82350.0;2
82400.0;19
82487.5;4
82537.5;19
82587.5;14
82625.0;2
82700.0;20
82750.0;2
82800.0;14
82887.5;6
82962.5;2
83025.0;0
83287.5;4
83387.5;15
83500.0;2
83575.0;15
83637.5;21
83687.5;2
83737.5;12
83800.0;6
83850.0;6
83900.0;6
83950.0;2
84025.0;15
84100.0;15
84125.0;4
84200.0;21
84237.5;8
84300.0;21
84350.0;7
84412.5;14
84487.5;2
84525.0;19
84575.0;6
84625.0;19
84675.0;2
84762.5;19
84825.0;8
84850.0;19
84900.0;21
84950.0;7
85050.0;19
85068.75;16
85100.0;8
85187.5;0
85299.5;0
85375.0;4
86225.0;19
86362.5;2
86412.5;19
86462.5;19
86525.0;4
86612.5;19
86662.5;2
86700.0;21
86762.5;6
86837.5;20
86875.0;2
86937.5;15
87025.0;20
87087.5;4
87137.5;15
87187.5;4
87262.5;4
87300.0;20
87350.0;15
87375.0;19
87437.5;4
87487.5;19
87562.5;19
87612.5;6
87675.0;4
87712.5;19
87787.5;8
87825.0;19
87875.0;2
87937.5;19
88000.0;8
88075.0;17
88162.5;8
88225.0;15
88287.5;14
88350.0;8
88387.5;15
88437.5;13
88487.5;6
88562.5;19
88612.5;20
88687.5;8
88737.5;19
88825.0;4
88875.0;15
88925.0;19
88987.5;4
89025.0;14
89075.0;6
89137.5;21
89175.0;21
89250.0;4
89287.5;19
89375.0;6
89425.0;8
89500.0;6
89575.0;2
89675.0;19
89750.0;8
89825.0;17
89900.0;2
89950.0;15
90012.5;14
90062.5;2
90125.0;15
90175.0;20
90237.5;2
90287.5;21
90362.5;2
90425.0;15
90487.5;19
90537.5;4
90575.0;14
90625.0;2
90675.0;15
90725.0;8
90800.0;19
90850.0;6
90912.5;4
90962.5;17
91025.0;2
91062.5;17
91187.5;0
91400.0;8
91625.0;6
91725.0;4
91800.0;19
91875.0;19
91937.5;6
92000.0;2
92100.0;19
92162.5;8
92212.5;15
92287.5;14
92337.5;2
92400.0;15
92450.0;21
92487.5;8
92550.0;17
92625.0;4
92662.5;21
92725.0;8
92800.0;15
92837.5;4
92912.5;19
92962.5;20
93012.5;8
93075.0;19
93150.0;19
93200.0;19
93250.0;2
93287.5;19
93362.5;4
93412.5;19
93462.5;14
93500.0;2
93562.5;15
93600.0;4
93675.0;15
93712.5;20
93775.0;2
93812.5;21
93862.5;2
93900.0;19
93950.0;6
94025.0;8
94075.0;19
94125.0;4
94175.0;15
94225.0;19
94275.0;4
94312.5;14
94362.5;8
94412.5;15
94475.0;13
94512.5;6
94587.5;20
94637.5;8
94712.5;15
94787.5;21
94837.5;2
94900.0;14
94950.0;2
95012.5;19
95087.5;6
95162.5;8
95212.5;15
95300.0;0
95512.5;21
95550.0;4
95587.5;19
95662.5;8
95700.0;19
95762.5;2
95825.0;21
95887.5;21
95962.5;6
96000.0;4
96037.5;19
96100.0;4
96150.0;19
96187.5;14
96225.0;2
96300.0;15
96337.5;19
96387.5;4
96425.0;14
96462.5;2
96512.5;15
96550.0;20
96625.0;19
96662.5;2
96712.5;19
96750.0;12
96812.5;2
96875.0;15
96950.0;21
97012.5;2
97100.0;15
97150.0;7
97225.0;21
97287.5;6
97362.5;14
97400.0;19
97475.0;4
97525.0;15
97587.5;6
97650.0;2
97737.5;21
97787.5;2
97837.5;19
97875.0;19
97912.5;2
97987.5;17
98087.5;2
98112.5;15
98212.5;0
98300.0;0
98362.5;2
99225.0;20
99337.5;19
99425.0;6
99525.0;8
99587.5;19
99650.0;21
99700.0;8
99800.0;15
99850.0;19
99912.5;19
99975.0;2
100037.5;19
100137.5;0
