Viseme event received: audio offset: 50.0ms, viseme id: 0.
Viseme event received: audio offset: 100.0ms, viseme id: 20.
Viseme event received: audio offset: 175.0ms, viseme id: 8.
Viseme event received: audio offset: 275.0ms, viseme id: 19.
Viseme event received: audio offset: 350.0ms, viseme id: 19.
Viseme event received: audio offset: 425.0ms, viseme id: 6.
Viseme event received: audio offset: 487.5ms, viseme id: 16.
Viseme event received: audio offset: 575.0ms, viseme id: 6.
Viseme event received: audio offset: 662.5ms, viseme id: 7.
Viseme event received: audio offset: 750.0ms, viseme id: 2.
Viseme event received: audio offset: 925.0ms, viseme id: 0.
Viseme event received: audio offset: 1675.0ms, viseme id: 0.
Viseme event received: audio offset: 1725.0ms, viseme id: 19.
Viseme event received: audio offset: 1825.0ms, viseme id: 8.
Viseme event received: audio offset: 1887.5ms, viseme id: 20.
Viseme event received: audio offset: 1975.0ms, viseme id: 4.
Viseme event received: audio offset: 2050.0ms, viseme id: 19.
Viseme event received: audio offset: 2150.0ms, viseme id: 20.
Viseme event received: audio offset: 2212.5ms, viseme id: 6.
Viseme event received: audio offset: 2300.0ms, viseme id: 19.
Viseme event received: audio offset: 2337.5ms, viseme id: 4.
Viseme event received: audio offset: 2412.5ms, viseme id: 15.
Viseme event received: audio offset: 2487.5ms, viseme id: 6.
Viseme event received: audio offset: 2537.5ms, viseme id: 20.
Viseme event received: audio offset: 2587.5ms, viseme id: 2.
Viseme event received: audio offset: 2787.0ms, viseme id: 0.
